date,description,amount,currency
2026-05-01,SALARY ACME GMBH,3200.00,EUR
2026-05-02,REWE SAGT DANKE,-54.21,EUR
2026-05-03,NETFLIX.COM AMSTERDAM,-19.99,EUR
2026-05-04,Spotify P0A1B2C3 STOCKHOLM,-10.99,EUR
2026-05-05,DM DROGERIE MARKT,-23.40,EUR
2026-05-06,DISNEY PLUS,-8.99,EUR
2026-05-07,GOOGLE YOUTUBEPREMIUM,-12.99,EUR
2026-05-09,OPENAI CHATGPT SUBSCRIPTION,-22.00,EUR
2026-05-10,TANKSTELLE ARAL,-67.80,EUR
2026-05-12,AMAZON PRIME*MEMBERSHIP,-8.99,EUR
2026-05-14,EDEKA,-41.12,EUR
2026-05-15,FITX FITNESSSTUDIO,-29.99,EUR
2026-05-18,APPLE.COM/BILL ICLOUD,-2.99,EUR
2026-05-20,DEUTSCHE BAHN TICKET,-49.00,EUR
2026-05-22,RESTAURANT BELLA ITALIA,-38.50,EUR
2026-05-28,MIETE WOHNUNG,-1150.00,EUR
2026-06-01,NETFLIX.COM AMSTERDAM,-19.99,EUR
2026-06-02,Spotify P0A1B2C3 STOCKHOLM,-10.99,EUR
2026-06-06,DISNEY PLUS,-8.99,EUR
2026-06-07,GOOGLE YOUTUBEPREMIUM,-12.99,EUR
2026-06-09,OPENAI CHATGPT SUBSCRIPTION,-22.00,EUR
